D,R,Diff,Main%,Accs,Avg Profit,Win Rate
0.04,0.05,0.01,0.6,3,1341683,100.0
0.04,0.05,0.01,0.6,5,1320106,100.0
0.04,0.05,0.01,0.6,7,1313100,100.0
0.04,0.05,0.01,0.6,9,1309189,100.0
0.04,0.06,0.02,0.3,3,739274,100.0
0.04,0.06,0.02,0.3,5,700194,100.0
0.04,0.06,0.02,0.3,7,687084,100.0
0.04,0.06,0.02,0.3,9,679575,100.0
0.04,0.06,0.02,0.4,3,943078,100.0
0.04,0.06,0.02,0.4,5,911224,100.0
0.04,0.06,0.02,0.4,7,899193,100.0
0.04,0.06,0.02,0.4,9,893824,100.0
0.04,0.06,0.02,0.5,3,1144709,100.0
0.04,0.06,0.02,0.5,5,1117292,100.0
0.04,0.06,0.02,0.5,7,1106860,100.0
0.04,0.06,0.02,0.5,9,1101972,100.0
0.04,0.06,0.02,0.6,3,1345328,100.0
0.04,0.06,0.02,0.6,5,1322244,100.0
0.04,0.06,0.02,0.6,7,1314385,100.0
0.04,0.06,0.02,0.6,9,1310144,100.0
